channel_repository,cloudflare_project,cloudflare_url,status
abu-dhabi-sport12,abu-dhabi-sport12,https://abu-dhabi-sport12.pages.dev,Deployed
adsports-primum1,adsports-primum1,https://adsports-primum1.pages.dev,Deployed
algery,algery,https://algery.pages.dev,Deployed
algy6,algy6,https://algy6.pages.dev,Deployed
arryadia-s-d,arryadia-s-d,https://arryadia-s-d.pages.dev,Deployed
aryadialive,aryadialive,https://aryadialive.pages.dev,Deployed
atalnia3,atalnia3,https://atalnia3.pages.dev,Deployed
atamina2,atamina2,https://atamina2.pages.dev,Deployed
bein4,bein4,https://bein4-cf4.pages.dev,Deployed
bein5,bein5,https://bein5.pages.dev,Deployed
bein6,bein6,https://bein6.pages.dev,Deployed
bein7,bein7,https://bein7.pages.dev,Deployed
bein8,bein8,https://bein8.pages.dev,Deployed
bein9,bein9,https://bein9.pages.dev,Deployed
BEINEXTRA1,beinextra1,https://beinextra1.pages.dev,Deployed
beinfree,beinfree,https://beinfree.pages.dev,Deployed
BEINmax1,beinmax1,https://beinmax1-a0t.pages.dev,Deployed
Beinmax2,beinmax2,https://beinmax2-18k.pages.dev,Deployed
beinmena-3,beinmena-3,https://beinmena-3.pages.dev,Deployed
beinsports1,beinsports1,https://beinsports1.pages.dev,Deployed
football-live,football-live,https://football-live-3ws.pages.dev,Deployed
foottv-bein3,foottv-bein3,https://foottv-bein3.pages.dev,Deployed
jordan,jordan,https://jordan-2vm.pages.dev,Deployed
live-stream,live-stream,https://live-stream-46v.pages.dev,Deployed
max3,max3,https://max3-9cm.pages.dev,Deployed
max4,max4,https://max4.pages.dev,Deployed
mbc-action,mbc-action,https://mbc-action.pages.dev,Deployed
onesports2,onesports2,https://onesports2.pages.dev,Deployed
shahid-vip,shahid-vip,https://shahid-vip.pages.dev,Deployed
starzplay,starzplay,https://starzplay-d27.pages.dev,Deployed
tamania1,tamania1,https://tamania1.pages.dev,Deployed
